Attribute,Mean,StdDev,Min,Max
ID,5588.35333935018,3249.37627481347,0,11191
Year_Birth,1968.8203971119133,11.985554097352363,1893,1996
Income,52247.25135379061,25173.076660901414,1730,666666
Kidhome,0.4417870036101083,0.5368962401346721,0,2
Teenhome,0.5054151624548736,0.5441812115403034,0,2
Recency,49.01263537906137,28.94835165862499,0,99
MntWines,305.09160649819495,337.327920116672,0,1493
MntFruits,26.356046931407942,39.793916518238674,0,199
MntMeatProducts,166.99593862815885,224.28327275898198,0,1725
MntFishProducts,37.63763537906137,54.75208241485154,0,259
MntSweetProducts,27.028880866425993,41.07204566698224,0,262
MntGoldProds,43.96525270758123,51.81541437447363,0,321
NumDealsPurchases,2.3235559566787005,1.9237156460114953,0,15
